#,Name,Icon,Image,Section,Description,Common Locations 1,Common Locations 2,Fuse Attack Power,Hearts Recovered,Unique Cooking Effects,Properties (Strength),Properties (Effect),Recoverable Materials 1,Recoverable Materials 2,Recoverable Materials 3,Recoverable Materials 4,Recoverable Materials 5,Recoverable Materials 6,Recoverable Materials 7,Recoverable Materials 8,Recoverable Materials 9,Recoverable Materials 10,Recoverable Materials 11,Recoverable Materials 12,Enemy Sensor Target 1,Enemy Sensor Target 2,Quest Required To Purchase,Name (Japanese),Description (Japanese),SpecialDeal,ActorName
379,Knight's Claymore,,,Equipment,"A claymore, now decayed, once carried by
knights of Hyrule. It resonates with the desire
to protect at all costs and can yield powerful
attacks when you're down to your last heart.",Hyrule Field,Gerudo Desert,-,-,-,12,Desperate Strength,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,騎士の両手剣,"城を守る騎士が携えていた両手剣 大切なものを
守る想いに呼応し ハートの残りが1個まで減ると
強力な攻撃を繰り出せる",,Weapon_Lsword_113
380,Knight's Claymore✨,,,Equipment,"Only the strongest of Hyrule Castle's knights
carried this two-handed sword. It can yield
powerful attacks when you're down to your
last heart.",Unknown,-,-,-,-,26,Desperate Strength,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,騎士の両手剣,"ハイラル城を守る騎士の中でも 十分な力量を
持つ者が携えていた大剣 ハートが1個以下の時に
強力な攻撃を繰り出す事ができる",,Weapon_Lsword_003
381,Royal Claymore,,,Equipment,"A large sword, now decayed, issued to the
royal family's guard. It's tuned for skilled
users and yields a powerful flurry rush during
a perfect dodge.",Great Plateau,Hyrule Castle,-,-,-,15,Improved Flurry Rush,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,王家の両手剣,"王家直属部隊が賜った大剣 扱う難度は高いが
熟練の使い手に向けて調整されており
回避ジャスト時のラッシュ攻撃が強力",,Weapon_Lsword_124
382,Royal Claymore✨,,,Equipment,"A two-handed sword issued to the Hyrulean
royal family's immediate guard detail. Yields a
powerful strike and increases the power of
flurry rush during perfect dodge.",Unknown,-,-,-,-,36,Improved Flurry Rush,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,王家の両手剣,"ハイラル王家の直属部隊に与えられた大剣
その一振りの威力は大きく 回避ジャスト時の
ラッシュ攻撃が強力になる 特性を持つ",,Weapon_Lsword_024
383,Zora Longsword,,,Equipment,"A decayed Zora longsword, it's suited for
battles near water because it's made of an
unusual metal that increases attack power
when it's wet.",Lanayru Great Spring,-,-,-,-,9,Water Warrior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾーラの大剣,"刀身が朽ちてしまったゾーラ族の大剣
濡れた状態で高い攻撃力を発揮する 特殊な
金属が使われていて 水辺での戦いに適している",,Weapon_Lsword_127
384,Zora Longsword✨,,,Equipment,"A longsword made by the Zora using a special
metal. It's rarely used because the Zora
prefer to use spears. It yields high attack
power when it gets wet.",Unknown,-,-,-,-,18,Water Warrior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾーラの大剣,"特殊な金属を用いてゾーラ族が作った大剣
ゾーラは槍を好むため あまり使う者がいないが
水に濡れると高い攻撃力を発揮する",,Weapon_Lsword_027
385,Cobble Crusher,,,Equipment,"In its former state, this hefty weapon knocked
out many a foe. Decayed, it still packs a
punch and is great for breaking rocks.",Eldin Canyon,Eldin Canyon Depths,-,-,-,10,Demolisher,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,石打ち,"元々 その重量を活かして相手を打撃で
倒すのを主としていた武器 朽ちてはいるが
岩を砕き 採掘するのに最適である",,Weapon_Lsword_136
386,Cobble Crusher✨,,,Equipment,"A Goron-made two-handed weapon. It's
made from thick, hard metal and has no
cutting edge, but its weight and hard surface
make it a great tool for breaking rocks.",Unknown,-,-,-,-,15,Demolisher,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,石打ち,"分厚く硬い金属で作られたゴロンの両手剣
刃は付いておらず 斬れ味は全くないが 
その硬度と重量は 採掘するのに最適である",,Weapon_Lsword_036
387,Boulder Breaker,,,Equipment,"This two-handed weapon was once wielded
by the Goron Champion Daruk. Daruk made
swinging it around look easy, but a Hylian
would need an immense amount of strength.",Goron City,-,-,-,-,40,Demolisher,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,巨岩砕き,"英傑ダルケルが携えていた 最硬級の大剣
ダルケルはこの大剣を軽々と振るっていたが
人間が使いこなすには かなりの熟練が必要",,Weapon_Lsword_054
388,Biggoron's Sword,,,Equipment,"A legendary greatsword forged by a Goron
craftsman for a hero who traveled through
time. The exceptionally sharp cutting edge
is a testament to the craftsman's mastery.",Unknown,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ダイゴロン刀,"ゴロンの名匠が 時を超えて旅をした勇者のために
作ったと言われる 伝説的な剛剣
匠の業が光る抜群の切れ味を持つ",,Weapon_Lsword_059
389,Gerudo Claymore,,,Equipment,"A two-handed Gerudo sword with a decayed
blade. Attaching a material greatly enhances
the material's power but doesn't add as much
durability.",Gerudo Desert,Gerudo Highlands,-,-,-,11,Strong Fusion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゲルドの両手剣,"刀身が朽ちてしまったゲルド族の大剣
剣先に力を込めやすいため 剣の耐久力を犠牲に
付けた素材の力を限界まで引き出す事ができる",,Weapon_Lsword_129
390,Gerudo Claymore✨,,,Equipment,"Only the most talented Gerudo sword fighters
carry this two-handed sword. Attaching a
material greatly enhances the material's
power but doesn't add as much durability.",Unknown,-,-,-,-,24,Strong Fusion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゲルドの両手剣,"ゲルド族の中の 剣術に優れた者が装備した大剣
先端に素材を付けると 剣が壊れやすくなる代わり
その力を限界まで引き出す 特性を持つ",,Weapon_Lsword_029
391,Eightfold Longblade,,,Equipment,"A longblade that no longer cuts as well as it
once did, due to its decayed edge. However,
when wielded by a proficient fighter, it cleaves
the wind and creates a vacuum.",Hyrule Ridge,Gerudo Highlands,-,-,-,9,Wind Razor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,残心の太刀,"刀身が朽ちてしまった片刃の大剣
朽ちて斬れ味は落ちてしまっているが
精神統一して振り抜くと 真空の刃が放てる",,Weapon_Lsword_114
392,Eightfold Longblade✨,,,Equipment,"A single-edged sword seldom seen in Hyrule.
This weapon is passed down through the
Sheikah tribe. When wielded by a proficient
fighter, it cleaves wind and creates vacuum.",Unknown,-,-,-,-,25,Wind Razor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,残心の太刀,"シーカー族にのみ伝わる片刃の剣
伝統的な技術で丁寧に鍛えられており
精神統一して振りぬくと 真空の刃が放てる",,Weapon_Lsword_041
393,Dusk Claymore,,,Equipment,"A slender claymore thought to have been
handed down to the kingdom of Hyrule ages
ago. The blade shines with a holy luster.",Unknown,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,黄昏の大剣,"はるか遠い昔 ハイラル王国に
伝わったとされる 細身の大剣
その刀身は 神秘的な白い輝きを放っている",,Weapon_Lsword_057
394,Fierce Deity Sword,,,Equipment,"A peculiar greatsword allegedly used by a
hero from a world in which the moon
threatened to fall. It slashes wildly in battle
as if possessed by a Fierce Deity.",Unknown,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,鬼神の大剣,"月が落ちてくる世界の勇者が所持していたと
言われている異形の大剣  これを手にした者は
まさに鬼神のごとき戦いぶりを見せるという",,Weapon_Lsword_060
395,Rusty Claymore,,,Equipment,"A two-handed sword not properly cared for.
Although it can be used as a weapon, its
durability is very low. Don't expect it to
last for more than a few strikes.",Hyrule Field,Eldin Canyon Depths,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,錆びた両手剣,"長く放置されて 錆びついてしまった大剣
武器として使う事はできるが 耐久性は低く
何度か使うと簡単に壊れてしまう",,Weapon_Lsword_020
396,Royal Guard's Claymore,,,Equipment,"A decayed claymore prototype for the royal
guard. It's made of a metal refined using an
unusual method, and it holds massive
destructive power just before it breaks.",Unknown,-,-,-,-,34,Breaking Point,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,近衛の両手剣,"近衛騎士のために試作された両手剣 特殊な技術で
鍛えた金属を用いており 耐久性が低いが
壊れそうになると 大きな攻撃力を発揮する",,Weapon_Lsword_147
397,Royal Guard's Claymore✨,,,Equipment,"The Sheikah used the very essence of ancient
technology to forge this greatsword. It's low
in durability, but its magic yields massive
destructive power just before it breaks.",Unknown,-,-,-,-,42,Breaking Point,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,近衛の両手剣,"シーカー族が古代技術の粋を集めて作った大剣
耐久性に難があるが 壊れそうになると
大きな攻撃力を発揮する 特性を持つ",,Weapon_Lsword_047
398,Thick Stick,,,Equipment,"A stick cut off from a large tree. It isn't very
sturdy, but its heavier end can swat a
shield away.",Hyrule Field,Hebra Mountains,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,太い棒,"大きな木から切り落とした棒
それほど頑丈さはないが 先端が重いので
振り回せば 盾を弾き飛ばす事ができる",,Weapon_Lsword_103
399,Sturdy Thick Stick,,,Equipment,"A solid stick cut from the crooked branch of
a tough tree. It has high durability, despite the
way it looks.",Hyrule Field,Gerudo Desert,-,-,-,8,Extra Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,丈夫な太棒,"丈夫な木から切り落とした硬い棒
いびつな形に太く成長した枝は
その見た目に反し 耐久力が高い",,Weapon_Lsword_108
400,Gnarled Thick Stick,,,Equipment,"A stick cut from a tree trunk. It's been dried to
increase its hardness. It has high attack
power for something made of wood.",East Necluda,Gerudo Highlands,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,節くれ太棒,"樹木の幹に近い部分から切り出した棒
乾燥する事で硬度が増し
木製とは思えないほど 攻撃力が高い",,Weapon_Lsword_109
401,Zonaite Longsword,,,Equipment,"A large sword used by the Zonai and made of
zonaite. It resonates with attached Zonai
devices to slightly increase its attack power.",Lanayru Sky Archipelago,Necluda Sky Archipelago,-,-,-,9,Zonaite-Powered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾナニウムの大剣,"素材にゾナニウムを使った ゾナウ族の大きな剣
ゾナウギアやゾナウ文明の素材を付けると
通常より攻撃力がわずかに上がる 特性を持つ",,Weapon_Lsword_101
402,Strong Zonaite Longsword,,,Equipment,"A strong, large sword used by the Zonai and
made of zonaite. It resonates with attached
Zonai devices to increase some of its attack
power.",Lanayru Sky Archipelago,Thunderhead Isles,-,-,-,11,Zonaite-Powered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾナニウムの強大剣,"ゾナニウムから作られた ゾナウ族の丈夫な大剣
ゾナウギアやゾナウ文明の素材に共鳴し
通常より攻撃力が上がる 特性を持つ",,Weapon_Lsword_163
403,Mighty Zonaite Longsword,,,Equipment,"A powerful, large sword used by Zonai and
made of zonaite. It resonates with attached
Zonai devices to greatly increase its attack
power.",Unknown,-,-,-,-,16,Zonaite-Powered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾナニウムの剛大剣,"ゾナニウムを素材とした ゾナウ族の強力な大剣
ゾナウギアやゾナウ文明の素材に共鳴し
通常より攻撃力が大きく上がる 特性を持つ",,Weapon_Lsword_164
404,Magic Scepter,,,Equipment,"A long and mysterious magical rod, it's said
to have been wielded by an ancient magician
who awoke the latent power of gems.",Central Hyrule Depths,Mount Lanayru Depths,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,魔法の大杖,"わずかに不思議な力を帯びた大きい杖
古代の魔術師はこの杖によって
宝石に眠った力を呼び覚ましていたと言われる",,Weapon_Lsword_161
405,Moblin Arm,,,Equipment,"A Moblin bone that continues to move even
after being detached from its body. The bone
is thick enough to be used as a weapon but
is extremely brittle and easily broken.",Great Hyrule Forest,Deep Akkala Depths,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,モリブリンの骨,"腕だけになっても動き続けている モリブリンの骨
長くて太い骨は 武器として使うに十分な
打撃力を持つが 非常にもろく壊れやすい",,Weapon_Lsword_019
406,Gloom Club,,,Equipment,"A metal stick filled with madness and symbolic
of doom. Its forceful strike can smash an
object to pieces. Its gloom will gradually wear
down the body of its wielder.",Unknown,-,-,-,-,53,Gloom Toll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,瘴気の金棒,"狂気に満ちた 不吉を象徴する金棒
その強力な一撃は 対象を跡形もなく粉砕する
この金棒を持つ者は 身体が徐々に瘴気に蝕まれる",,Weapon_Lsword_166
407,Wooden Mop,,,Equipment,"Just a mop to the untrained eye, it excels at
tidying up the place. But it owes its sturdy
construction to a true craftsman, so it
actually has some combat merit.",Hyrule Field,Eldin Canyon,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,木のモップ,"床の清掃に大活躍する掃除道具
職人による手作りのため 丈夫にできている 
武器にしても ある程度使える",,Weapon_Spear_036
408,Farmer's Pitchfork,,,Equipment,"A farming tool used to collect hay efficiently.
It's light enough to be used by anyone.
The four prongs are very sharp.",Hyrule Field,West Necluda,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,畑のフォーク,"干し草を効率よく集めるための農具
誰でも扱えるように軽く作られている
4つに分かれた先端は結構鋭い",,Weapon_Spear_022
409,Fishing Harpoon,,,Equipment,"A fisherman's tool that excels at catching
large fish. Its particularly sharp spearhead
makes it valuable as a weapon as well.",Lurelin Village,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,漁師のモリ,"主に大型の魚を獲るために使う漁具
鋭く尖った先端を持ち 武器としても使える
逃げる魚をこれで仕留められれば 一人前の漁師",,Weapon_Spear_038
410,Throwing Spear,,,Equipment,"A spear for throwing with a decayed tip. Lost
its sharpness, but kept the balance perfect for
throwing, enabling you to throw it very far.",Central Hyrule Depths,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,投てき槍,"刃先が朽ちてしまった 投てき用の槍
鋭さは失われているが 投げるのに最適な重心や
バランスはそのままで 遠くに投げる事ができる",,Weapon_Spear_173
411,Throwing Spear✨,,,Equipment,"A specialized spear weighted to excel as a
throwing weapon. It's perfectly balanced
to be thrown farther than your average spear,
able to pierce targets from a great distance.",Unknown,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,投てき槍,"投げて突き刺す事に特化した特殊な槍
穂先と柄のバランスを取る事で 通常の槍より
遠くまで投げられるように設計されている",,Weapon_Spear_030
412,Traveler's Spear,,,Equipment,"An average spear carried by travelers for
protection. It's decayed and doesn't cut
well, but the shape makes it easy for anyone
to handle.",Death Mountain,Gerudo Highlands,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,旅人の槍,"旅人が護身用に持ち歩いた 一般的な槍
朽ちてしまって斬れ味は良くないが
誰にでも扱いやすい形状をしている",,Weapon_Spear_106
413,Traveler's Spear✨,,,Equipment,"A spear used mainly by travelers to fend off
wolves and other beasts. It's easy to hold
and simple to use.",Unknown,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,旅人の槍,"旅人がオオカミなどの野生動物から
身を守るために持ち歩いていた 護身用の槍
握りやすく使い心地がよい",,Weapon_Spear_001
414,Soldier's Spear,,,Equipment,"Although now decayed, this lightweight metal
spear was made for royal soldiers. Because
it's light and easy to handle, it enables
quicker charged attacks.",Hyrule Field,Eldin Canyon,-,-,-,3,Quick Charge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,兵士の槍,"城の兵士用に軽量化された金属の槍
軽く扱いやすいため
タメ攻撃を素早く繰り出せる",,Weapon_Spear_112
415,Soldier's Spear✨,,,Equipment,"A long spear once used by the guards of
Hyrule Castle. Easy to use but difficult to
master. Enables quicker charged attacks.",Unknown,-,-,-,-,7,Quick Charge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,兵士の槍,"城の兵士が使っていた長槍 十分な鍛錬を積んだ
者が扱えば 思い通りに振り回す事ができ
タメ攻撃を素早く繰り出す事ができる",,Weapon_Spear_002
416,Knight's Halberd,,,Equipment,"Now decayed, this halberd was made for
knights of Hyrule. It reflects their courage in
defending the kingdom. It can yield powerful
attacks when you're down to your last heart.",Gerudo Desert,Faron Grasslands,-,-,-,4,Desperate Strength,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,騎士の槍,"城の騎士用に作られた槍 王国と城を守る
騎士道の精神により ハートが残り1個以下の時
強力な攻撃を繰り出せる",,Weapon_Spear_113
417,Knight's Halberd✨,,,Equipment,"A spear used by knights adept in mounted
combat. The spearhead is modeled after
an axe. It can yield powerful attacks when
you're down to your last heart.",Unknown,-,-,-,-,10,Desperate Strength,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,騎士の槍,"武器に熟練した騎士のために作られた槍
斧状の槍頭が特徴的で ハートが残り1個以下の時
強力な攻撃を繰り出す事ができる",,Weapon_Spear_003
418,Royal Halberd,,,Equipment,"Although now decayed, this spear was once
given to knights who guarded critical areas of
Hyrule Castle. It enables a powerful flurry rush
during a perfect dodge.",Hyrule Castle,East Necluda,-,-,-,5,Improved Flurry Rush,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,王家の槍,"城の重要な場所を守る騎士に 与えられた槍
使いこなすには並以上の技量が必要だが
回避ジャスト時のラッシュ攻撃が強力になる",,Weapon_Spear_124
419,Royal Halberd✨,,,Equipment,"This spear was issued to the knights who
guarded Hyrule Castle's throne room. It yields
a powerful flurry rush during a perfect dodge.",Unknown,-,-,-,-,13,Improved Flurry Rush,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,王家の槍,"城の中でも特に重要な場所を守る任務に
就いていた騎士に与えられた槍 回避ジャスト時の
ラッシュ攻撃が強力になる 特性を持つ",,Weapon_Spear_024
420,Forest Dweller's Spear,,,Equipment,"A Korok spear with a decayed tip. It's still
full of vitality. Bursting materials attached
to the spearhead can be reused again
and again.",Great Hyrule Forest,-,-,-,-,4,Fuse Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,森人の槍,"穂先が朽ちてしまったコログ族の槍
生命力に満ち溢れており 先端に破裂する実を
付けると その特性を繰り返し使う事ができる",,Weapon_Spear_125
421,Forest Dweller's Spear✨,,,Equipment,"The Koroks made this spear for Hylians.
The shaft is made from a light, sturdy wood.
Bursting materials attached to the spearhead
can be reused again and again.",Unknown,-,-,-,-,10,Fuse Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,森人の槍,"コログ族が人間のために作ったといわれる槍
軽くて丈夫な木が材料で 穂先に破裂する実を
付けると その特性を何度も使う事ができる",,Weapon_Spear_025
422,Zora Spear,,,Equipment,"A Zora spear with a decayed point. It's made
of a water-resistant metal and yields a high
attack power when it gets wet.",Lanayru Wetlands,Upland Zorana,-,-,-,4,Water Warrior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾーラの槍,"刀身が朽ちてしまったゾーラ族の槍
水に強い特殊な金属を用いており
濡れると高い攻撃力を発揮する",,Weapon_Spear_127
423,Zora Spear✨,,,Equipment,"This spear is a Zora's weapon of choice. It's
made from a special metal and is used by the
Zora for both fishing and protecting home. It
yields high attack power when it gets wet.",Unknown,-,-,-,-,8,Water Warrior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾーラの槍,"ゾーラ族に広く一般的に使われていた槍
漁だけでなく 外敵から里を守る戦いにも使われた
水に濡れると高い攻撃力を発揮する",,Weapon_Spear_027
424,Lightscale Trident,,,Equipment,"A spear of peerless grace cherished by the
Zora Champion Mipha. Although Mipha
specialized in healing abilities, her
spearmanship was in a class all its own.",Zora's Domain,-,-,-,-,16,Water Warrior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,光鱗の槍,"英傑ミファーが愛用していた優美な名槍
治癒を得意とするミファーだったが 
槍の扱いも一流であったと言われている",,Weapon_Spear_050
425,Feathered Spear,,,Equipment,"A spear used by Rito soldiers, its point is now
decayed. It still boasts quick attacks in midair,
and it produces a strong wind.",Hebra Mountains,Tabantha Frontier,-,-,-,3,Wind Burst,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,風切羽の槍,"刀身が朽ちてしまったリト族兵士の槍
穂先が特徴的な形状をしており 素早く突く事で
大きな風を生み出す事ができる",,Weapon_Spear_132
426,Feathered Spear✨,,,Equipment,"Its lightweight design is a hallmark of Rito
craftsmanship. It gives Rito warriors more
maneuverability during aerial combat—and it
produces a strong wind.",Unknown,-,-,-,-,7,Wind Burst,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,風切羽の槍,"リト族の兵士が使う槍 空で羽ばたきながら
使う事ができ 突きを繰り出すたびに
大きな風を生み出す 特性を持つ",,Weapon_Spear_032
427,Gerudo Spear,,,Equipment,"A Gerudo spear with a decayed blade that is
designed to draw force to its tip. Attaching a
material greatly enhances the material's
power but doesn't add as much durability.",Gerudo Desert,-,-,-,-,4,Strong Fusion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゲルドの槍,"刀身が朽ちてしまったゲルド族の槍
先端に力が集中しやすく 槍への負荷は大きいが
穂先の素材の力を限界まで引き出す事ができる",,Weapon_Spear_129
428,Gerudo Spear✨,,,Equipment,"This spear was used widely by the Gerudo
soldiers. Attaching a material greatly
enhances the material's power but doesn't
add as much durability.",Unknown,-,-,-,-,9,Strong Fusion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゲルドの槍,"ゲルド族の兵士に 広く用いられていた槍
穂先に素材を付けると 槍に大きな負荷を与える
代わり その力を限界まで引き出す 特性を持つ",,Weapon_Spear_029
429,Rusty Halberd,,,Equipment,"A rusty polearm likely used by knights from
an age past. The spearhead is in bad shape
due to prolonged exposure to the elements,
so its durability is low.",Hyrule Field,East Necluda,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,錆びた槍,"大昔に騎士が使っていたと思われる 錆びついた槍
長く風雨に晒されたせいか 槍頭の痛みが激しく
耐久性は低い",,Weapon_Spear_021
430,Royal Guard's Spear,,,Equipment,"A prototype spear wielded by knights. It's
made from a special metal with low durability,
but which yields massive destructive power
just before it breaks.",Unknown,-,-,-,-,11,Breaking Point,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,近衛の槍,"近衛騎士が使った試作品の槍 特殊な金属製のため
耐久力が低く扱いが難しいが 壊れそうになると
大きな攻撃力を発揮する 特性を持つ",,Weapon_Spear_147
431,Royal Guard's Spear✨,,,Equipment,"This Sheikah-made spear was created using
ancient technology. It has poor durability, but
the magic it contains yields massive
destructive power just before it breaks.",Unknown,-,-,-,-,18,Breaking Point,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,近衛の槍,"シーカー族が古代技術を活かして作った槍
耐久性は低いが 壊れそうになると
大きな攻撃力を発揮する 特性を持つ",,Weapon_Spear_047
432,Long Stick,,,Equipment,"A long stick fashioned from a tree branch.
Its straight shape makes it work well as a
lunging weapon.",Tabantha Frontier,Hebra Mountains,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,長い棒,"樹木の枝を切り落とした長い棒
真っすぐな形状を生かして
突き刺す武器として使える",,Weapon_Spear_103
433,Sturdy Long Stick,,,Equipment,"A long, durable stick made from a branch with
good piercing power. It has high durability
because it comes from the hardest part of
the tree.",Gerudo Desert,East Necluda Depths,-,-,-,3,Extra Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,丈夫な長棒,"長く伸びた丈夫な棒 歪みが少ないその枝は
突き刺す力を伝えやすく 樹木の硬い部分を選んで
切り出しているため 耐久力が高い",,Weapon_Spear_108
434,Gnarled Long Stick,,,Equipment,"A long stick made bumpy at one end when its
shoots were cut off. It has higher attack
power than a normal stick.",Gerudo Desert,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,節くれ長棒,"枝分かれした先端を切り落とした長棒
切断面がデコボコしていて 当たると痛いため
普通の棒より 攻撃力が高い",,Weapon_Spear_109
435,Zonaite Spear,,,Equipment,"A Zonai spear made of zonaite. It resonates
with attached Zonai devices to slightly
increase its attack power.",Rising Island Chain,Lanayru Sky Archipelago,-,-,-,3,Zonaite-Powered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾナニウムの槍,"ゾナニウムを素材とした ゾナウ族の槍
穂先にゾナウギアやゾナウ文明の素材を付けると
通常より攻撃力がわずかに上がる 特性を持つ",,Weapon_Spear_101
436,Strong Zonaite Spear,,,Equipment,"A tough spear used by the Zonai. It is highly
durable. It resonates with attached Zonai
devices to increase some of its attack power.",Lanayru Sky Archipelago,Lomei Labyrinth Island,-,-,-,4,Zonaite-Powered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾナニウムの強槍,"ゾナウ族が使っていた丈夫な槍 耐久力に優れ
ゾナウギアやゾナウ文明の素材を付けると 
通常より攻撃力が上がる 特性を持つ",,Weapon_Spear_163
437,Mighty Zonaite Spear,,,Equipment,"A powerful Zonai spear made of zonaite.
It resonates with attached Zonai devices
to greatly increase its attack power.",Unknown,-,-,-,-,6,Zonaite-Powered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゾナニウムの剛槍,"ゾナニウムを素材とした ゾナウ族の強力な槍
穂先のゾナウギアやゾナウ文明の素材に共鳴し
通常より攻撃力が大きく上がる 特性を持つ",,Weapon_Spear_164
438,Magic Staff,,,Equipment,"A long rod with a bit of magic, it's said to
have been wielded by an ancient magician
who awoke the latent power of gems.",Eldin Mountains,North Gerudo Sky Archipelago,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,魔法の長杖,"ほのかに魔力を帯びた長い杖
古代の魔術師が宝石の力を引き出すための
祭具として利用していたと言われる",,Weapon_Spear_161
439,Gloom Spear,,,Equipment,"A spear whose ominous appearance strikes
fear into hearts. It is said to cost its bearer a
part of their soul because its gloom will
gradually wear down the body of its wielder.",Unknown,-,-,-,-,30,Gloom Toll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,瘴気の槍,"見ているだけで身がすくむ 恐ろしい雰囲気の槍
一薙ぎで魂を刈り取るとも言われており
この槍を持つ者は 徐々に身体が瘴気に蝕まれる",,Weapon_Spear_166
440,Arrow,,,Equipment,"A common arrow. Its shaft was carved from
the wood of a sturdy tree.",Greater Hyrule,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,木の矢,"一般的に使われているシンプルな矢
丈夫な木を削って作られている",,NormalArrow
